12.401s | tick 12857 | track 1 | ch 1 | Note Off D5 (74) vel 0
12.401s | tick 12857 | track 1 | ch 1 | Note Off D4 (62) vel 0
12.401s | tick 12857 | track 1 | ch 1 | Note On F4 (65) vel 36
12.401s | tick 12857 | track 1 | ch 1 | Note On D3 (50) vel 28
12.401s | tick 12857 | track 1 | ch 1 | Note On D4 (62) vel 25
12.401s | tick 12857 | track 1 | ch 1 | Note On D5 (74) vel 35
12.493s | tick 12953 | track 1 | ch 1 | Note Off D5 (74) vel 0
12.493s | tick 12953 | track 1 | ch 1 | Note Off D4 (62) vel 0
12.493s | tick 12953 | track 1 | ch 1 | Note Off D3 (50) vel 0
12.493s | tick 12953 | track 1 | ch 1 | Note Off F4 (65) vel 0
12.493s | tick 12953 | track 1 | ch 1 | Note On G#4 (68) vel 36
12.493s | tick 12953 | track 1 | ch 1 | Note On D3 (50) vel 28
12.493s | tick 12953 | track 1 | ch 1 | Note On F4 (65) vel 25
12.493s | tick 12953 | track 1 | ch 1 | Note On F5 (77) vel 35
12.586s | tick 13049 | track 1 | ch 1 | Note Off F5 (77) vel 0
